"gene_id","gene_name","padj"
"ENSG00000152583.12","SPARCL1",5.62460405014736e-08
"ENSG00000099954.18","CECR2",5.93621045601621e-08
"ENSG00000243244.7","STON1",5.93621045601621e-08
"ENSG00000183807.8","FAM162B",5.9678776215724e-08
"ENSG00000001497.18","LAS1L",6.01759325592702e-08
"ENSG00000229676.3","ZNF492",6.03441691952599e-08
"ENSG00000237452.3","BHMG1",6.14991826988684e-08
"ENSG00000162639.16","HENMT1",6.17528606570764e-08
"ENSG00000148154.10","UGCG",6.21465993069903e-08
"ENSG00000188508.11","KRTDAP",6.50897814556899e-08
"ENSG00000163376.11","KBTBD8",6.52003990102344e-08
"ENSG00000095209.12","TMEM38B",6.56860707825748e-08
"ENSG00000197472.15","ZNF695",6.60140708051039e-08
"ENSG00000141682.12","PMAIP1",7.03307387498657e-08
"ENSG00000182004.13","SNRPE",7.03924541840683e-08
"ENSG00000184697.7","CLDN6",7.03924541840683e-08
"ENSG00000132958.17","TPTE2",7.06748733135219e-08
"ENSG00000165490.13","DDIAS",7.06748733135219e-08
"ENSG00000111291.8","GPRC5D",7.07463194399019e-08
"ENSG00000115541.11","HSPE1",7.07463194399019e-08
"ENSG00000151962.8","RBM46",7.13189987877954e-08
"ENSG00000139132.14","FGD4",7.17534187980007e-08
"ENSG00000152137.8","HSPB8",7.18147496387322e-08
"ENSG00000087088.20","BAX",7.18246739120332e-08
"ENSG00000129810.15","SGO1",7.18737221146113e-08
"ENSG00000184507.16","NUTM1",7.22368717641355e-08
"ENSG00000122367.20","LDB3",7.37127423896034e-08
"ENSG00000156642.17","NPTN",7.41846702546906e-08
"ENSG00000173809.18","TDRD12",7.41846702546906e-08
"ENSG00000100628.12","ASB2",7.48752957688676e-08
"ENSG00000160868.15","CYP3A4",7.48752957688676e-08
"ENSG00000184831.14","APOO",7.48752957688676e-08
"ENSG00000197879.17","MYO1C",7.80967959822667e-08
"ENSG00000185666.15","SYN3",7.85640972935134e-08
"ENSG00000182389.20","CACNB4",8.35810260212624e-08
"ENSG00000100401.20","RANGAP1",8.37715096049593e-08
"ENSG00000122912.15","SLC25A16",8.54208740966713e-08
"ENSG00000224960.5","PPP4R3C",8.54208740966713e-08
"ENSG00000177981.11","ASB8",8.66180961707602e-08
"ENSG00000186103.5","ARGFX",8.91678026249729e-08
"ENSG00000119915.5","ELOVL3",8.98525029293146e-08
"ENSG00000046774.10","MAGEC2",9.00897976472628e-08
"ENSG00000174885.13","NLRP6",9.42120758706382e-08
"ENSG00000284753.2","EEF1AKMT4",9.49894347583358e-08
"ENSG00000196363.9","WDR5",9.76694325185903e-08
"ENSG00000120094.9","HOXB1",9.91945806922636e-08
"ENSG00000101405.3","OXT",1.01509079841512e-07
"ENSG00000117450.15","PRDX1",1.01509079841512e-07
"ENSG00000162174.12","ASRGL1",1.01509079841512e-07
"ENSG00000175899.15","A2M",1.01509079841512e-07
"ENSG00000103175.11","WFDC1",1.02341312492577e-07
"ENSG00000176153.12","GPX2",1.02514397696024e-07
"ENSG00000162063.13","CCNF",1.03544782118352e-07
"ENSG00000185527.12","PDE6G",1.05488484436555e-07
"ENSG00000157303.11","SUSD3",1.06504544521441e-07
"ENSG00000167645.17","YIF1B",1.07257991927838e-07
"ENSG00000167491.17","GATAD2A",1.0762771802571e-07
"ENSG00000165879.9","FRAT1",1.07735159480363e-07
"ENSG00000089195.15","TRMT6",1.0916045345982e-07
"ENSG00000170004.17","CHD3",1.09271139460765e-07
"ENSG00000121931.16","LRIF1",1.09552563760521e-07
"ENSG00000105197.11","TIMM50",1.17626960387851e-07
"ENSG00000159251.8","ACTC1",1.18888311646626e-07
"ENSG00000214336.5","FOXI3",1.18888311646626e-07
"ENSG00000241149.3","ZNF722P",1.18888311646626e-07
"ENSG00000186847.6","KRT14",1.21104142542878e-07
"ENSG00000131094.4","C1QL1",1.21168087849376e-07
"ENSG00000175354.20","PTPN2",1.2363713779494e-07
"ENSG00000163719.20","MTMR14",1.24056482410634e-07
"ENSG00000079841.18","RIMS1",1.32478917540654e-07
"ENSG00000106399.11","RPA3",1.32478917540654e-07
"ENSG00000132768.14","DPH2",1.32478917540654e-07
"ENSG00000160957.14","RECQL4",1.32478917540654e-07
"ENSG00000187556.7","NANOS3",1.3301477961989e-07
"ENSG00000119686.10","FLVCR2",1.33276797532784e-07
"ENSG00000198959.12","TGM2",1.33276797532784e-07
"ENSG00000170606.15","HSPA4",1.38224908097374e-07
"ENSG00000087586.18","AURKA",1.3865617849205e-07
"ENSG00000137076.21","TLN1",1.3865617849205e-07
"ENSG00000156990.14","RPUSD3",1.45317196384402e-07
"ENSG00000100749.8","VRK1",1.50134944908921e-07
"ENSG00000176383.9","B3GNT4",1.50134944908921e-07
"ENSG00000102055.7","PPP1R2C",1.55448721685487e-07
"ENSG00000176834.14","VSIG10",1.55448721685487e-07
"ENSG00000124614.16","RPS10",1.56281554877629e-07
"ENSG00000185585.20","OLFML2A",1.56763998729234e-07
"ENSG00000214324.5","C3orf56",1.57316655164346e-07
"ENSG00000189190.10","ZNF600",1.62315130615481e-07
"ENSG00000173065.13","FAM222B",1.64968642096127e-07
"ENSG00000125207.7","PIWIL1",1.65096750057655e-07
"ENSG00000153044.10","CENPH",1.66854047033986e-07
"ENSG00000184368.16","MAP7D2",1.7200823404097e-07
"ENSG00000164776.10","PHKG1",1.73885750985742e-07
"ENSG00000198841.4","KTI12",1.75622896236519e-07
"ENSG00000185155.12","MIXL1",1.7771577675817e-07
"ENSG00000179104.9","TMTC2",1.83593229756579e-07
"ENSG00000151458.12","ANKRD50",1.86813374625649e-07
"ENSG00000127564.17","PKMYT1",1.88322789931319e-07
"ENSG00000011304.22","PTBP1",1.89008723502008e-07
"ENSG00000164815.11","ORC5",1.93398157046285e-07
"ENSG00000182774.13","RPS17",1.94069410521036e-07
"ENSG00000158008.10","EXTL1",2.0175461041634e-07
"ENSG00000172409.6","CLP1",2.04381263204127e-07
"ENSG00000142182.9","DNMT3L",2.04947333014559e-07
"ENSG00000163468.15","CCT3",2.04947333014559e-07
"ENSG00000169679.15","BUB1",2.06213836796296e-07
"ENSG00000119314.16","PTBP3",2.11447241975634e-07
"ENSG00000166211.8","SPIC",2.12008823385274e-07
"ENSG00000196290.16","NIF3L1",2.15731751749882e-07
"ENSG00000101938.15","CHRDL1",2.16110263283505e-07
"ENSG00000157152.17","SYN2",2.16872465339999e-07
"ENSG00000132017.10","DCAF15",2.177777068873e-07
"ENSG00000182134.16","TDRKH",2.17907367732277e-07
"ENSG00000183580.10","FBXL7",2.18247549541649e-07
